mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_entry_z,param_exit_z,param_long_window,param_max_position_pct,param_short_window,param_volatility_cap,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.00043662389119466144,9.841044345621855e-05,0.002790689468383789,0.0014130289517935643,1.2,0.3,50,0.8,15,0.12,"{'entry_z': 1.2, 'exit_z': 0.3, 'long_window': 50, 'max_position_pct': 0.8, 'short_window': 15, 'volatility_cap': 0.12}",,,,,,1
0.00046515464782714844,0.00013063307648454028,0.001974900563557943,0.000382126418428662,1.2,0.3,50,0.8,20,0.1,"{'entry_z': 1.2, 'exit_z': 0.3, 'long_window': 50, 'max_position_pct': 0.8, 'short_window': 20, 'volatility_cap': 0.1}",,,,,,1
0.0005413691202799479,0.00025167979364096907,0.0014887650807698567,5.618736801252563e-05,1.2,0.3,50,0.8,20,0.12,"{'entry_z': 1.2, 'exit_z': 0.3, 'long_window': 50, 'max_position_pct': 0.8, 'short_window': 20, 'volatility_cap': 0.12}",,,,,,1
0.0006428559621175131,0.00016999298563463597,0.002737919489542643,0.00139928443407951,1.2,0.3,50,0.8,25,0.1,"{'entry_z': 1.2, 'exit_z': 0.3, 'long_window': 50, 'max_position_pct': 0.8, 'short_window': 25, 'volatility_cap': 0.1}",,,,,,1
0.0005040168762207031,0.0001834433306175197,0.0018231868743896484,0.0003589491279016619,1.2,0.3,50,0.8,25,0.12,"{'entry_z': 1.2, 'exit_z': 0.3, 'long_window': 50, 'max_position_pct': 0.8, 'short_window': 25, 'volatility_cap': 0.12}",,,,,,1
0.0005119641621907552,0.00029444262295054706,0.0013906160990397136,6.442195695965022e-05,1.2,0.3,60,0.7,15,0.1,"{'entry_z': 1.2, 'exit_z': 0.3, 'long_window': 60, 'max_position_pct': 0.7, 'short_window': 15, 'volatility_cap': 0.1}",,,,,,1
0.0005309581756591797,0.00018463585899952315,0.0017420450846354167,0.0003206937772149061,1.2,0.3,60,0.7,15,0.12,"{'entry_z': 1.2, 'exit_z': 0.3, 'long_window': 60, 'max_position_pct': 0.7, 'short_window': 15, 'volatility_cap': 0.12}",,,,,,1
0.00041961669921875,0.0001322242585450702,0.0015532175699869792,0.000202694247218742,1.2,0.3,60,0.7,20,0.1,"{'entry_z': 1.2, 'exit_z': 0.3, 'long_window': 60, 'max_position_pct': 0.7, 'short_window': 20, 'volatility_cap': 0.1}",,,,,,1
0.0003275871276855469,6.286147469746876e-05,0.0013985633850097656,4.5465283228711954e-05,1.2,0.3,60,0.7,20,0.12,"{'entry_z': 1.2, 'exit_z': 0.3, 'long_window': 60, 'max_position_pct': 0.7, 'short_window': 20, 'volatility_cap': 0.12}",,,,,,1
0.0006136099497477213,0.00026899000268349686,0.001721779505411784,0.0006607475835152158,1.2,0.3,60,0.7,25,0.1,"{'entry_z': 1.2, 'exit_z': 0.3, 'long_window': 60, 'max_position_pct': 0.7, 'short_window': 25, 'volatility_cap': 0.1}",,,,,,1
